Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-0.0328657288246075,0.0307806338154147,0.307711224343171,0,0,0,5.32485368404392,0.0219378727246539,-4.02880975316138E-06,-1.44872112391915E-06,0.0232024067860217,-7.18050757212558E-05,0.0149053879753853,0,0,0,0,0,0,package://2cam_small/meshes/Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2cam_small/meshes/Base.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210847072,-0.0393747184410589,0.0707155329911036,0,0,0,0.26437001106022,3.20746276473044E-05,-1.44118283518155E-07,-6.30853084354202E-08,6.22704126338821E-05,-2.01894652761251E-07,6.28519936953906E-05,0,0,0,0,0,0,package://2cam_small/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2cam_small/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS2,Axis_LFS,LFS,fixed,0.173410124237744,-0.399149249633667,0.0449394104471217,2.84167547132556,0,3.14159265358979,Base,0,0.999966324180135,-0.00771317092181556,0,0,0,0,,,,,,,,
LFW,-0.0123157245733973,-6.52281809522398E-05,-4.69232104357009E-05,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://2cam_small/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://2cam_small/meshes/LFW.STL,,wheel-4,Origin_LFW2,Axis_LFW2,LFW,continuous,0.00041099,-0.061262,0.09569,-1.8707,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276385272,-0.0443548414978189,0.0650669279716199,0,0,0,0.264370011060221,3.20746276473045E-05,1.44118283518171E-07,6.30853084354422E-08,6.22704126338823E-05,-2.01894652761258E-07,6.28519936953908E-05,0,0,0,0,0,0,package://2cam_small/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2cam_small/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS2,,RFS,fixed,-0.24667,-0.43786,0.041354,2.8262,0,0,Base,0,0,0,0,0,0,0,,,,,,,,
RFW,-0.0123157245747488,1.84602485989727E-05,7.82030849109105E-05,0,0,0,0.193585420779862,0.000253081141332254,-1.23497249055924E-21,2.07163812308337E-21,0.000136818598566517,-3.3881317890172E-21,0.000136818598566517,0,0,0,0,0,0,package://2cam_small/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://2cam_small/meshes/RFW.STL,,wheel-3,Origin_RFW2,Axis_RFW2,RFW,continuous,0.0061708,-0.040893,0.098085,-0.70714,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136870551,-0.0369799716242675,0.0643347690268632,0,0,0,0.197009126147877,1.68802738687173E-05,-1.14118964784893E-21,2.10921100717931E-20,5.0218488566757E-05,1.0508875929185E-06,4.72447473350487E-05,0,0,0,0,0,0,package://2cam_small/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2cam_small/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS2,,LBS,fixed,0.17341,-0.21915,0.043551,2.8417,0,3.1416,Base,0,0,0,0,0,0,0,,,,,,,,
LBC,0.000464744852031629,-0.0408916785207848,-4.74244192952833E-05,0,0,0,0.043396245960262,2.1180042472488E-05,5.53822046363835E-07,1.45583787809333E-22,1.76453344713605E-06,-2.20112761000361E-20,2.14947085785555E-05,0,0,0,0,0,0,package://2cam_small/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://2cam_small/meshes/LBC.STL,,CastleCatcher_small_wheel-3,Origin_LBC2,Axis_LBC2,LBC,continuous,0.0411609911350768,-0.0332218793684783,0.0523497067876337,-1.87842355251803,-0.00139263512405294,3.13720937469085,LBS,0,1,0,,,,,,,,,,,,
LBW,0.00647290503233725,7.24158928296983E-05,3.48194508708044E-05,0,0,0,0.0368891747697499,1.67269024516251E-05,1.7292210705421E-21,-4.76786905075565E-21,8.8792623904253E-06,2.11758236813575E-22,8.8792623904253E-06,0,0,0,0,0,0,package://2cam_small/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://2cam_small/meshes/LBW.STL,,wheel_small-2,Origin_LBW2,Axis_LBW2,LBW,continuous,0.0095006,-0.0683,0,-2.9585,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136884065,-0.0370703686263281,0.0643060483984043,0,0,0,0.197009126147877,1.68802738687173E-05,-2.46098846739223E-21,6.53316130658802E-22,5.0218488566757E-05,1.05088759291849E-06,4.72447473350487E-05,0,0,0,0,0,0,package://2cam_small/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2cam_small/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS2,,RBS,fixed,-0.24091,-0.25078,0.043795,2.8262,0,0,Base,0,0,0,0,0,0,0,,,,,,,,
RBC,0.000464526735199394,-0.0408916785207848,4.74249208766708E-05,0,0,0,0.0433962459602619,2.11800424724879E-05,5.53822046363848E-07,-3.52409536688239E-22,1.76453344713605E-06,2.07911846965204E-20,2.14947085785555E-05,0,0,0,0,0,0,package://2cam_small/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://2cam_small/meshes/RBC.STL,,CastleCatcher_small_wheel-4,Origin_RBC2,Axis_RBC2,RBC,continuous,0.041161,-0.033222,0.05235,-1.8784,0,3.1416,RBS,0,1,0,,,,,,,,,,,,
